STATE,REGION_TYPE,REASON_FOR_NON_RESPONSE,RESPONSE_STATUS,HH_WEIGHT_MS,AGE_GROUP,OCCUPATION_GROUP,EDUCATION_GROUP,GENDER_GROUP,SIZE_GROUP,TOTAL_EXPENDITURE,MONTHLY_EXPENSE_ON_FOOD,MONTHLY_EXPENSE_ON_EDIBLE_OILS,MONTHLY_EXPENSE_ON_VEGETABLES_AND_WET_SPICES,MONTHLY_EXPENSE_ON_FRUITS,MONTHLY_EXPENSE_ON_MILK_AND_MILK_PRODUCTS,MONTHLY_EXPENSE_ON_SALTY_SNACKS,MONTHLY_EXPENSE_ON_HEALTH_SUPPLEMENTS,MONTHLY_EXPENSE_ON_TEA,MONTHLY_EXPENSE_ON_COFFEE,MONTHLY_EXPENSE_ON_BOTTLED_WATER,MONTHLY_EXPENSE_ON_INTOXICANTS,MONTHLY_EXPENSE_ON_CIGARETTES_AND_TOBACCO,MONTHLY_EXPENSE_ON_CLOTHING,MONTHLY_EXPENSE_ON_FOOTWEAR,MONTHLY_EXPENSE_ON_CLOTHING_ACCESSORIES,MONTHLY_EXPENSE_ON_COSMETIC_AND_TOILETRIES,MONTHLY_EXPENSE_ON_DETERGENT_BARS,MONTHLY_EXPENSE_ON_DETERGENT_LIQUIDS_AND_POWDER,MONTHLY_EXPENSE_ON_MOBILES_AND_ACCESSORIES,MONTHLY_EXPENSE_ON_RESTAURANTS,MONTHLY_EXPENSE_ON_RECREATION,MONTHLY_EXPENSE_ON_ENTERTAINMENT,MONTHLY_EXPENSE_ON_HOUSE_RENT,MONTHLY_EXPENSE_ON_WATER_CHARGES,MONTHLY_EXPENSE_ON_SOCIETY_CHARGES,MONTHLY_EXPENSE_ON_OTHER_TAXES,MONTHLY_EXPENSE_ON_POWER_AND_FUEL,MONTHLY_EXPENSE_ON_COOKING_FUEL,MONTHLY_EXPENSE_ON_ELECTRICITY,MONTHLY_EXPENSE_ON_TRANSPORT,MONTHLY_EXPENSE_ON_LANDLINE_PHONE,MONTHLY_EXPENSE_ON_CELL_PHONE,MONTHLY_EXPENSE_ON_CABLE_TV,MONTHLY_EXPENSE_ON_INTERNET,MONTHLY_EXPENSE_ON_NEWSPAPERS_AND_MAGAZINES,MONTHLY_EXPENSE_ON_EDUCATION,MONTHLY_EXPENSE_ON_SCHOOL_ACADEMIC_BOOKS,MONTHLY_EXPENSE_ON_FICTION_NON_FICTION_BOOKS,MONTHLY_EXPENSE_ON_STATIONERY,MONTHLY_EXPENSE_ON_SCHOOL_COLLEGE_FEES,MONTHLY_EXPENSE_ON_PRIVATE_TUITION_FEES,MONTHLY_EXPENSE_ON_HOBBY_CLASSES,MONTHLY_EXPENSE_ON_SCHOOL_TRANSPORT,MONTHLY_EXPENSE_ON_HEALTH,MONTHLY_EXPENSE_ON_MEDICINES,MONTHLY_EXPENSE_ON_DOCTORS_PHYSIOTHERAPISTS_FEE,MONTHLY_EXPENSE_ON_MEDICAL_TESTS,MONTHLY_EXPENSE_ON_HYGIENE_PRODUCTS,MONTHLY_EXPENSE_ON_EMI_FOR_HOUSE,MONTHLY_EXPENSE_ON_EMI_FOR_VEHICLES,MONTHLY_EXPENSE_ON_OTHER_EMIS,MONTHLY_EXPENSE_ON_DOMESTIC_HELP,MONTHLY_EXPENSE_ON_POCKET_MONEY,MONTHLY_EXPENSE_ON_PETS
Tamil Nadu,URBAN,No Failure,Accepted,1786.73,Balanced households with no Seniors,Non-industrial Technical Employees,Households of all literates,Male Dominated,4 Members,50917,6210,765,520,220,880,160,800,560,1070,0,1680,700,900,650,50,447,465,260,450,876,450,0,4020,500,0,0,2605,1230,400,250,0,189,250,0,400,510,1450,0,0,300,0,700,0,0,250,200,0,0,0,5300,0,0,0,2500
Madhya Pradesh,RURAL,Could not be executed,Non-Response,2024.08,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,URBAN,No Failure,Accepted,2357.85,Grown-up - dominant,Wage Labourers,Households of all literates,Balanced,4 Members,44606,6838,0,860,0,840,370,0,0,0,90,1400,0,2300,0,1032,0,530,0,1238,700,0,0,0,400,0,0,4350,1150,2066,2654,0,0,750,1000,0,705,420,0,0,300,0,0,0,410,85,0,0,525,0,3100,0,0,200,0
Gujarat,RURAL,No Failure,Accepted,1740.22,Grown-up - dominant,Self-employed Entrepreneurs,Graduates minority household,Female Majority,3 Members,47631,5810,590,1750,850,765,1090,0,0,385,0,765,0,1200,0,450,928,618,1050,450,850,1150,0,0,0,0,0,3330,1819,0,575,0,449,480,0,0,2300,560,0,520,560,400,0,0,700,200,0,0,0,0,0,0,0,850,310
Uttar Pradesh,RURAL,Household not found,Non-Response,3210.74,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,RURAL,Could not be executed,Non-Response,1188.47,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,URBAN,Could not be executed,Non-Response,3366.55,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,URBAN,Could not be executed,Non-Response,2141.93,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,RURAL,No Failure,Accepted,2226.44,Balanced households with no Seniors,Small/Marginal Farmers,Households of all literates,Balanced,4 Members,58357,5220,590,1750,1080,880,430,1316,1200,0,0,935,1480,0,650,45,0,0,400,0,900,0,350,3560,1050,1100,750,3100,1250,425,285,0,0,560,0,1150,0,0,0,1080,500,0,0,0,365,85,0,0,1038,5860,0,1600,0,700,0
Uttarakhand,URBAN,No Failure,Accepted,1631.46,Balanced households with no Seniors,Entrepreneurs,Households of all literates,Male Majority,5 Members,69368,7900,480,1370,445,0,300,300,330,0,0,2200,120,2300,300,435,1190,230,0,620,0,0,0,0,400,0,0,2555,0,500,240,0,189,250,600,0,5580,0,600,770,300,0,1100,0,0,630,0,0,0,0,0,2300,0,150,0
Madhya Pradesh,RURAL,No Failure,Accepted,2735.94,Balanced households with no Seniors,Organised Farmers,Households of all literates,Female Majority,4 Members,53900,5485,300,540,1225,2376,60,660,0,0,800,2400,835,2200,600,0,447,35,140,0,1100,600,0,2950,0,900,0,1400,850,2130,0,0,650,420,0,0,892,400,260,300,9300,0,0,450,715,42,0,0,0,0,0,0,0,0,0
Maharashtra,RURAL,Could not be executed,Non-Response,1429.27,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,RURAL,No Failure,Accepted,2293.04,Grown-up - dominant,Self-employed Entrepreneurs,Households of all literates,Male Dominated,5 Members,69235,3605,800,540,200,825,120,800,185,0,800,2100,500,2300,0,250,0,360,610,0,1600,0,0,2700,1050,0,0,2605,630,710,1050,450,1249,0,600,0,705,0,0,290,0,0,1200,0,425,3150,0,0,325,0,0,3400,250,1500,580
Uttar Pradesh,RURAL,Could not be executed,Non-Response,1860.07,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,RURAL,Locked,Non-Response,1592.74,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,RURAL,No Failure,Accepted,3191.01,Grown-up - dominant,Non-industrial Technical Employees,Households of all literates,Balanced,5 Members,63370,5590,1380,930,280,2000,450,250,30,0,0,935,0,300,0,0,898,100,65,0,0,700,0,2740,160,700,0,1400,1360,650,0,0,500,450,0,0,892,320,0,270,500,0,600,0,0,575,0,0,280,0,0,3400,1180,0,1800
Haryana,RURAL,Household not found,Non-Response,2082.09,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,URBAN,No Failure,Accepted,2829.62,Balanced households with no Seniors,Support Staff,Matriculates dominated household,Female Majority,1 Member,35050,0,600,650,660,2320,0,0,85,532,570,730,1015,0,0,0,900,1040,1185,300,1220,750,0,4020,350,0,750,880,0,530,1260,0,0,0,0,0,1480,0,0,770,780,500,0,300,0,200,0,0,385,0,0,0,500,1700,0
Rajasthan,RURAL,Could not be executed,Non-Response,677.15,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,URBAN,No Failure,Accepted,2187.43,Others households of Grown-ups,White-collar Clerical Employees,Households of all literates,Balanced,2 Members,40001,0,800,540,600,1970,120,1316,0,260,200,0,330,1200,0,0,518,230,195,0,1020,0,0,3420,0,0,0,3716,0,700,405,320,0,355,600,120,0,0,0,290,0,900,0,0,470,35,0,600,480,0,1200,0,0,620,0
Delhi,URBAN,Could not be executed,Non-Response,2090.15,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,URBAN,No Failure,Accepted,677.85,Balanced households with no Seniors,Non-industrial Technical Employees,Matriculates majority household,Male Majority,5 Members,65361,2510,0,935,200,2320,0,1250,0,330,570,1110,320,2500,0,155,1489,1040,260,0,1020,0,0,2950,50,400,0,1175,1120,0,0,60,550,400,0,0,2300,420,0,150,1150,1200,0,0,138,180,0,0,160,0,2400,1600,600,800,2500
Bihar,RURAL,No Failure,Accepted,2388.55,Grown-up - dominant,Organised Farmers,Matriculates majority household,Balanced,4 Members,66223,6190,175,350,595,1300,610,250,200,330,200,1400,1015,650,0,50,0,600,505,0,0,400,550,2740,0,0,0,1770,1230,0,190,0,250,500,0,0,2500,1100,0,0,0,400,0,600,1095,1600,200,0,60,6200,2400,0,0,750,0
Madhya Pradesh,URBAN,No Failure,Accepted,2027.79,Others households of Grown-ups,Retired/Aged,Matriculates majority household,Female Majority,4 Members,62036,4541,800,1950,0,0,400,0,455,330,0,0,0,2900,320,420,1020,230,620,0,876,0,0,0,290,0,0,0,1179,645,1050,0,750,560,0,480,0,320,0,350,780,0,0,0,140,725,0,600,350,2970,2200,3400,250,750,0
Maharashtra,URBAN,Could not be executed,Non-Response,1908.19,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,URBAN,No Failure,Accepted,3122.81,Grown-up - dominant,Organised Farmers,Graduates majority household,Male Majority,2 Members,69908,7702,475,0,0,1970,1135,150,386,390,0,1100,695,0,1400,1080,635,30,0,0,500,700,50,4020,0,700,0,0,0,0,1450,150,500,650,0,420,550,0,0,750,900,0,700,0,310,490,0,0,0,4900,0,0,500,1600,1850
Delhi,RURAL,No Failure,Accepted,1770.16,Balanced households with no Seniors,Wage Labourers,Households of all literates,Balanced,5 Members,61805,3605,0,0,1080,1175,280,250,530,550,0,2100,580,700,750,420,375,340,0,900,300,2500,0,3050,290,0,0,0,630,2400,750,0,189,0,0,0,370,320,0,400,0,0,700,0,1415,580,0,0,0,5000,0,0,0,0,0
Bihar,URBAN,No Failure,Accepted,2165.13,Grown-up - dominant,Self-employed Entrepreneurs,Households of all literates,Male Dominated,4 Members,69247,5722,840,1620,1225,665,1215,700,0,0,0,2965,400,2500,320,450,898,460,275,599,1250,750,0,3050,350,0,0,2555,990,880,0,320,0,750,600,0,510,0,600,1200,300,400,0,0,1520,200,700,820,335,0,0,0,0,1200,600
West Bengal,RURAL,No Failure,Accepted,2531.94,Grown-up - dominant,Miscellaneous,Matriculates majority household,Male Majority,4 Members,67393,8420,470,850,800,1250,45,425,700,0,800,550,0,1250,290,125,0,618,80,300,0,0,450,4020,0,900,0,2555,1300,1350,2654,0,199,425,0,480,880,0,0,0,0,0,0,0,0,630,0,0,325,0,3100,0,0,1200,0
Jharkhand,URBAN,Locked,Non-Response,3027.88,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,URBAN,Household not found,Non-Response,1966.4,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,RURAL,Household not found,Non-Response,2742.19,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,RURAL,No Failure,Accepted,2694.11,Others households of Grown-ups,Self-employed Entrepreneurs,Matriculates dominated household,Male Majority,3 Members,52367,0,1135,920,250,0,200,425,560,0,90,1600,1080,0,0,215,0,420,275,0,1020,0,0,3420,0,900,750,2440,780,570,0,0,1249,500,0,0,2500,758,600,830,700,0,0,0,265,0,0,0,0,0,1200,0,0,1600,310
Himachal Pradesh,URBAN,No Failure,Accepted,2209.98,Balanced households with no Seniors,Small/Marginal Farmers,Households of all literates,Male Majority,4 Members,63007,5575,200,0,110,2625,360,400,85,0,0,935,320,2900,1450,420,2065,30,0,550,1060,450,0,3050,470,0,0,0,800,0,0,0,1249,0,0,450,940,0,0,830,1600,0,0,0,560,0,600,0,335,0,3100,0,0,385,1100
Gujarat,RURAL,No Failure,Accepted,2075.41,Grown-up - dominant,Non-industrial Technical Employees,All Graduates household,Male Majority,3 Members,51345,7660,1135,950,200,2800,160,870,1060,0,260,1600,0,0,480,0,910,0,340,0,1060,0,0,0,0,0,0,1060,1080,320,405,0,1250,0,0,700,1200,0,0,25,1600,0,500,0,1300,0,300,0,280,2970,3100,0,0,1100,0
Puducherry,URBAN,No Failure,Accepted,2376.89,Balanced households with no Seniors,Retired/Aged,Households of all literates,Male Majority,5 Members,51968,5575,0,920,485,0,1050,0,245,0,800,0,535,700,0,720,1020,0,1185,550,0,750,1200,0,0,0,0,3330,0,675,1420,0,1199,300,0,400,400,400,0,0,0,0,500,0,0,575,0,0,0,0,0,0,0,450,600
